id,name,operator,day_relevance,route_segment,route_class,address,latitude_gcj02,longitude_gcj02,latitude_wgs84,longitude_wgs84,coordinate_precision,anchor_distance_m,status,piles,connectors,power_kw,source_url_1,source_url_2,notes,last_checked,overlay_quality,verification_tier
HLG-07,云快充充电站(德曲林卡庄园充电站),云快充,"2,3",磨西 / 海螺沟,direct,泸定县磨西镇 / S434榆磨路附近,29.6390846,102.1289129,29.6416617,102.1271446,Baidu search-area anchor; station is listed at stated distance from anchor,332,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11369776.941036%26nb_y%3D3436716.6819987%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E6%B3%B8%E5%AE%9A%E5%8E%BFS434%28%E6%A6%86%E7%A3%A8%E8%B7%AF%29/,,Pin is an approximate cluster anchor.,2026-09-16,approx,C
KD-01,康定驿站集中式（超级快充）充电站,云快充/康定驿站,"3,4",S434康定 / G318交汇周边,direct,康定市炉城街道菜园子村龙洞电站大坝康定驿站,30.0569428,101.9968927,30.0596707,101.9952778,Derived approximate point: ~420m NW of nearby AMap reference,~420m derivation,operational by 2024-end,10,24,,https://www.kangding.gov.cn/kdkfhwj/article/692952,https://ranks.amap.com/ranking/%E9%AB%98%E9%80%9F%E5%85%85%E7%94%B5%E7%AB%99/%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E/%E8%80%81%E5%B9%B4%E4%BA%BA,Government reply reports 10 piles/24 connectors at 康定驿站 by end-2024. Earlier subsidy list records different build-phase counts; treat current government total as site-level reference.,2026-09-16,approx,C
KD-02,四川省甘孜州康定市新客运站/新城公交公共充电站,国家电网,"3,4",康定新城,direct,康定市榆林街道办新城客运站,30.054317,101.979968,30.0570947,101.9784047,AMap bus-station anchor; charging site listed at same complex,,operational,3,6,360,https://www.bidcenter.com.cn/news-357274004-1.html,https://map.baidu.com/mobile/webapp/search/search/qt%3Ds%26wd%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E5%AD%9C%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E5%BA%B7%E5%AE%9A%E5%B8%82%E6%A6%86%E6%9E%97%E8%A1%97%E9%81%93%E5%8A%9E%E6%96%B0%E5%9F%8E%E5%AE%A2%E8%BF%90%E7%AB%99/,"Subsidy project lists 3 piles/6 connectors, 360 kW; Baidu currently lists charging at the new bus station complex.",2026-09-16,site,B
KD-03,木格措景区充电站,景区/国网保障,"3,4",S434 / 康定周边备选,near_route,康定市雅拉乡木格措景区停车场,30.187012,101.904604,30.1899112,101.9031516,AMap scenic parking-lot anchor,,confirmed operating May 2026,,,,https://sc.people.com.cn/n2/2026/0506/c345167-41572171.html,https://www.amap.com/place/B03440MH5C,人民网四川报道2026五一期间木格措景区充电站有实时空位信息并由国网巡护。,2026-09-16,site,B
KD-04,愉秒充折多山全液冷超充站,愉秒充 / 华为超充,"3,4",康定 → 折多山（backup / comparison）,backup,G318折多山服务区与318国道交叉口南40米,,,,,Exact coordinate not resolved in this research pass,,confirmed operating May 2026,,7,600 kW supercharge x1 + 250 kW fast x6,https://www.cqjlp.gov.cn/tzfw/tzdt/202404/t20240410_13121462.html,https://sc.people.com.cn/n2/2026/0506/c345167-41572171.html,Kept in CSV/list but intentionally not pinned until exact coordinate is verified.,2026-09-16,unlocated,D
TG-01,华哲新能源塔公乡雪山之恋酒店超充站,华哲新能源,"3,4",塔公草原,direct,康定市塔公草原酒店/公共停车场,30.32993,101.55496,30.3327795,101.5533938,AMap Tagong Grassland area anchor; exact hotel pin to verify,,subsidy list marks project completed/eligible,4,8,480,https://www.bidcenter.com.cn/news-358244043-1.html,https://ditu.amap.com/place/B03440MNN1,"Specific station is reported in the Ganzi subsidy-project list; map pin is the Tagong Grassland area anchor, not the exact hotel entrance.",2026-09-16,approx,C
TG-02,从此益后塔公草原曼达拉大酒店快充站,从此益后,"3,4",塔公草原,direct,康定市塔公草原酒店/公共停车场,30.32993,101.55496,30.3327795,101.5533938,AMap Tagong Grassland area anchor; exact hotel pin to verify,,subsidy list marks project completed/eligible,1,2,120,https://www.bidcenter.com.cn/news-358244043-1.html,https://ditu.amap.com/place/B03440MNN1,"Specific station is reported in the Ganzi subsidy-project list; map pin is the Tagong Grassland area anchor, not the exact hotel entrance.",2026-09-16,approx,C
TG-03,从此益后塔公观景别苑酒店快充站,从此益后,"3,4",塔公草原,direct,康定市塔公草原酒店/公共停车场,30.32993,101.55496,30.3327795,101.5533938,AMap Tagong Grassland area anchor; exact hotel pin to verify,,subsidy list marks project completed/eligible,2,4,240,https://www.bidcenter.com.cn/news-358244043-1.html,https://ditu.amap.com/place/B03440MNN1,"Specific station is reported in the Ganzi subsidy-project list; map pin is the Tagong Grassland area anchor, not the exact hotel entrance.",2026-09-16,approx,C
TG-04,塔公草原景区大功率充电站项目,项目资料（运营商待核）,"3,4",塔公草原,direct,塔公草原景区,30.32993,101.55496,30.3327795,101.5533938,AMap Tagong Grassland area anchor,,project reported; field verification needed,3,20,1200,https://www.dlswzb.com/nizaijian/show-39085.html,https://ditu.amap.com/place/B03440MNN1,"Project listing reports 1×240 kW + 2×480 kW, total 1200 kW and 20 connectors; do not assume live until field-verified.",2026-09-16,approx,C
XDB-01,特斯拉超级充电站(新都桥黑青稞庄园),Tesla,"3,4",新都桥 backup / detour,backup,康定市新都桥镇黑青稞庄园地面停车场，G318旁,30.018421,101.530106,30.0212233,101.5284845,Exact AMap coordinate,,listed operational,2,2,up to 120 kW,https://www.amap.com/place/B0J2479N8J,,Backup option if route or convoy diverts toward 新都桥; not on the official itinerary.,2026-09-16,exact,A
XDB-02,国家电网充电站(甘孜州康定市新都桥国道G318川藏线超充站),国家电网,"3,4",新都桥 backup / detour,backup,康定市新都桥镇G318附近,30.0496584,101.4837675,30.052325,101.4819929,Baidu search-area anchor; station is listed at stated distance from anchor,197,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11297972.13054%26nb_y%3D3489097.8696276%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E5%BA%B7%E5%AE%9A%E5%B8%82%E6%96%B0%E9%83%BD%E6%A1%A5%E9%95%87G248%28%E6%B2%AA%E8%81%82%E7%BA%BF%29/,https://sc.people.com.cn/n2/2026/0506/c345167-41572171.html,"Backup option; pin is a cluster anchor, not exact station coordinate.",2026-09-16,approx,C
XDB-03,新都桥东蓉酒店星星超充站,星星充电,"3,4",新都桥 backup / detour,backup,康定市新都桥镇G318附近,30.0496584,101.4837675,30.052325,101.4819929,Baidu search-area anchor; station is listed at stated distance from anchor,276,listed,,,,https://map.baidu.com/mobile/webapp/place/list/qt%3Ds%26wd%3D%E4%BA%A4%E9%80%9A%E8%AE%BE%E6%96%BD%26c%3D73%26nb_x%3D11297972.13054%26nb_y%3D3489097.8696276%26center_rank%3D1/center_name%3D%E5%9B%9B%E5%B7%9D%E7%9C%81%E7%94%98%E8%97%8F%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E%E5%BA%B7%E5%AE%9A%E5%B8%82%E6%96%B0%E9%83%BD%E6%A1%A5%E9%95%87G248%28%E6%B2%AA%E8%81%82%E7%BA%BF%29/,,"Backup option; pin is a cluster anchor, not exact station coordinate.",2026-09-16,approx,C
YA-01,方程豹雅安天佛4S店（行程指定兆瓦闪充体验）,BYD/FANGCHENGBAO,4,雅安 → 成都,direct,雅安市雨城区多营镇创新路1号,29.987297,102.95208,29.9901313,102.9504575,AMap Duoying-town anchor; exact 4S-store coordinate not resolved,,scheduled in BYD media itinerary,,,Megawatt Flash Charging (itinerary wording),https://m.modiauto.com.cn/dealer/c510000s48.html,,Official trip itinerary schedules a 30-minute Megawatt Flash Charging experience here; exact map pin needs final verification.,2026-09-16,site,B
KD-05,蔚景云汽车充电站(雪立方慢充站),蔚景云,"3,4",康定城区,direct,康定市炉城街道西大街雪立方假日酒店,30.056368,101.964000,30.0591845,101.9624764,Exact AMap coordinate,,listed / government confirms 6 piles 12 connectors at 雪立方酒店 by 2024-end,6,12,,https://www.amap.com/place/B0JDP6N6M0,https://www.kangding.gov.cn/kdkfhwj/article/692952,Exact AMap pin for 雪立方慢充站; local government separately reports 6 piles / 12 connectors at 雪立方酒店.,2026-09-16,exact,A
KD-06,特斯拉超级充电站(康定新城广场),Tesla,"3,4",康定新城,direct,康定市榆林路396号新城广场负三楼072车位旁/入口：贡嘎路,,,,,Address verified; exact public coordinate not resolved,,operational / official Tesla listing,3,3,250,https://www.tesla.cn/findus/location/supercharger/cnsc9420?region=CN,https://www.kangding.gov.cn/kdkfhwj/article/692952,"Official Tesla page lists 3 Superchargers up to 250 kW, 24/7. Kept unpinned until exact coordinate is independently resolved.",2026-09-16,unlocated,D
